brandName,providerName,locationName,line1,postCode,"Publication Date",serviceName,"Key Question","Latest Rating"
-,"Aryaa Care Limited","Ambleside Residential Home","60 Hart Hill Drive","LU2 0AY",2017-09-30,Overall,Well-led,Inadequate
-,"As U Care Ltd","The Chimes","83 Park Road","FY8 1PW",2017-10-21,Overall,Effective,Inadequate
-,"As U Care Ltd","The Chimes","83 Park Road","FY8 1PW",2017-10-21,Overall,Overall,Inadequate
-,"As U Care Ltd","The Chimes","83 Park Road","FY8 1PW",2017-10-21,Overall,Safe,Inadequate
-,"As U Care Ltd","The Chimes","83 Park Road","FY8 1PW",2017-10-21,Overall,Well-led,Inadequate
-,"Ashley Down Care Home Limited","Ashley Down Nursing Home","29 Clarence Place","DA12 1LD",2017-08-22,Overall,Effective,Inadequate
-,"Ashley Down Care Home Limited","Ashley Down Nursing Home","29 Clarence Place","DA12 1LD",2017-08-22,Overall,Overall,Inadequate
-,"Ashley Down Care Home Limited","Ashley Down Nursing Home","29 Clarence Place","DA12 1LD",2017-08-22,Overall,Responsive,Inadequate
-,"Ashley Down Care Home Limited","Ashley Down Nursing Home","29 Clarence Place","DA12 1LD",2017-08-22,Overall,Safe,Inadequate
-,"Ashley Down Care Home Limited","Ashley Down Nursing Home","29 Clarence Place","DA12 1LD",2017-08-22,Overall,Well-led,Inadequate
-,"Ashley House Care Limited","Ashley House","Ashley House Care Limited","CM2 9AQ",2017-05-17,Overall,Caring,Inadequate
-,"Ashley House Care Limited","Ashley House","Ashley House Care Limited","CM2 9AQ",2017-05-17,Overall,Effective,Inadequate
-,"Ashley House Care Limited","Ashley House","Ashley House Care Limited","CM2 9AQ",2017-05-17,Overall,Overall,Inadequate
-,"Ashley House Care Limited","Ashley House","Ashley House Care Limited","CM2 9AQ",2017-05-17,Overall,Responsive,Inadequate
-,"Ashley House Care Limited","Ashley House","Ashley House Care Limited","CM2 9AQ",2017-05-17,Overall,Safe,Inadequate
-,"Ashley House Care Limited","Ashley House","Ashley House Care Limited","CM2 9AQ",2017-05-17,Overall,Well-led,Inadequate
-,"Ashwood Court Healthcare Ltd","The Grange Care Home","22 Cornwallis Avenue","CT19 5JB",2017-10-19,Overall,Overall,Inadequate
-,"Ashwood Court Healthcare Ltd","The Grange Care Home","22 Cornwallis Avenue","CT19 5JB",2017-10-19,Overall,Safe,Inadequate
-,"Ashwood Court Healthcare Ltd","The Grange Care Home","22 Cornwallis Avenue","CT19 5JB",2017-10-19,Overall,Well-led,Inadequate
-,"Ashwood Home Care Limited","Ashwood Care","Suite 13, Rowan House","WA1 4JN",2017-07-12,Overall,Well-led,Inadequate
-,"Asprey Healthcare Limited","Smallbrook Care Home","Suffolk Close","RH6 7DU",2017-10-31,Overall,Effective,Inadequate
-,"Asprey Healthcare Limited","Smallbrook Care Home","Suffolk Close","RH6 7DU",2017-10-31,Overall,Overall,Inadequate
-,"Asprey Healthcare Limited","Smallbrook Care Home","Suffolk Close","RH6 7DU",2017-10-31,Overall,Safe,Inadequate
-,"Asprey Healthcare Limited","Smallbrook Care Home","Suffolk Close","RH6 7DU",2017-10-31,Overall,Well-led,Inadequate
-,"Assist Domiciliary Care Limited","Choose Your Care","Silverdale Care Home","ST5 6PQ",2017-10-03,Overall,Well-led,Inadequate
-,"Astley Grange Homes Limited","Astley Grange","288 Blackburn Road","BL1 8DU",2018-01-23,Overall,Safe,Inadequate
-,"Avens Care Homes Limited","Prestbury Court Residential Home","Brimley Lane","TQ13 9JS",2017-12-07,Overall,Effective,Inadequate
-,"Avens Care Homes Limited","Prestbury Court Residential Home","Brimley Lane","TQ13 9JS",2017-12-07,Overall,Overall,Inadequate
-,"Avens Care Homes Limited","Prestbury Court Residential Home","Brimley Lane","TQ13 9JS",2017-12-07,Overall,Safe,Inadequate
-,"Avens Care Homes Limited","Prestbury Court Residential Home","Brimley Lane","TQ13 9JS",2017-12-07,Overall,Well-led,Inadequate
-,"Avon Lea Weymouth 2015 Limited","Avon Lea Nursing Home","66 Dorchester Road","DT4 7JZ",2017-12-29,Overall,Effective,Inadequate
-,"Avon Lea Weymouth 2015 Limited","Avon Lea Nursing Home","66 Dorchester Road","DT4 7JZ",2017-12-29,Overall,Overall,Inadequate
-,"Avon Lea Weymouth 2015 Limited","Avon Lea Nursing Home","66 Dorchester Road","DT4 7JZ",2017-12-29,Overall,Responsive,Inadequate
-,"Avon Lea Weymouth 2015 Limited","Avon Lea Nursing Home","66 Dorchester Road","DT4 7JZ",2017-12-29,Overall,Safe,Inadequate
-,"Avon Lea Weymouth 2015 Limited","Avon Lea Nursing Home","66 Dorchester Road","DT4 7JZ",2017-12-29,Overall,Well-led,Inadequate
-,"Bafford House Residential Care Home","Bafford House","Bafford House","GL53 8DQ",2017-08-31,Overall,Well-led,Inadequate
-,"Barking, Havering and Redbridge University Hospitals NHS Trust","Queen's Hospital","Rom Valley Way","RM7 0AG",2015-07-02,Overall,Responsive,Inadequate
-,"Barndoc Healthcare Limited","Barndoc Healthcare Limited OOH - Churchwood House","Churchwood House","EN4 0DR",2017-06-30,Overall,Safe,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"Families, children and young people",Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"Older people",Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,Overall,Effective,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,Overall,Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,Overall,Safe,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,Overall,Well-led,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"People with long term conditions",Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Barts Health NHS Trust","The Royal London Hospital","Whitechapel Road","E1 1BB",2016-12-15,Surgery,Responsive,Inadequate
-,"Barts Health NHS Trust","Whipps Cross University Hospital","Whipps Cross Road","E11 1NR",2017-09-12,Surgery,Overall,Inadequate
-,"Barts Health NHS Trust","Whipps Cross University Hospital","Whipps Cross Road","E11 1NR",2017-09-12,Surgery,Responsive,Inadequate
-,"Barts Health NHS Trust","Whipps Cross University Hospital","Whipps Cross Road","E11 1NR",2017-09-12,Surgery,Safe,Inadequate
-,"Barts Health NHS Trust","Whipps Cross University Hospital","Whipps Cross Road","E11 1NR",2017-09-12,Surgery,Well-led,Inadequate
-,"Bee Friends Limited","Bee Friends","Suite 33, Liberty House, The Enterprise Centre","RG19 6HN",2017-09-16,Overall,Overall,Inadequate
-,"Bee Friends Limited","Bee Friends","Suite 33, Liberty House, The Enterprise Centre","RG19 6HN",2017-09-16,Overall,Responsive,Inadequate
-,"Bee Friends Limited","Bee Friends","Suite 33, Liberty House, The Enterprise Centre","RG19 6HN",2017-09-16,Overall,Safe,Inadequate
-,"Bee Friends Limited","Bee Friends","Suite 33, Liberty House, The Enterprise Centre","RG19 6HN",2017-09-16,Overall,Well-led,Inadequate
-,"Beech Tree Medical Practice","Beech Tree Medical Practice","Drover Close","CV21 3HX",2017-11-13,Overall,Safe,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"Families, children and young people",Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"Older people",Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,Overall,Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,Overall,Responsive,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,Overall,Safe,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,Overall,Well-led,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"People with long term conditions",Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Bel-Air Care Limited","Oakleigh Care Home","Oakleigh Road","BD14 6NP",2017-07-06,Overall,Well-led,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"Families, children and young people",Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"Older people",Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,Overall,Effective,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,Overall,Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,Overall,Responsive,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,Overall,Safe,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,Overall,Well-led,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"People with long term conditions",Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"Families, children and young people",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"Older people",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,Overall,Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,Overall,Safe,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,Overall,Well-led,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"People with long term conditions",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Berengrove Limited","Berengrove Park Nursing Home","45 Park Avenue","ME7 4AQ",2017-10-21,Overall,Well-led,Inadequate
-,"Bexhill Care Centre Limited","Bexhill Care Centre Limited","154 Barnhorn Road","TN39 4QL",2017-09-23,Overall,Overall,Inadequate
-,"Bexhill Care Centre Limited","Bexhill Care Centre Limited","154 Barnhorn Road","TN39 4QL",2017-09-23,Overall,Responsive,Inadequate
-,"Bexhill Care Centre Limited","Bexhill Care Centre Limited","154 Barnhorn Road","TN39 4QL",2017-09-23,Overall,Safe,Inadequate
-,"Bexhill Care Centre Limited","Bexhill Care Centre Limited","154 Barnhorn Road","TN39 4QL",2017-09-23,Overall,Well-led,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"Families, children and young people",Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"Older people",Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,Overall,Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,Overall,Safe,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,Overall,Well-led,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"People with long term conditions",Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Birmingham Women's and Children's NHS Foundation Trust","Birmingham Children's Hospital","Birmingham Children's Hospital","B4 6NH",2017-02-21,"Neonatal services",Safe,Inadequate
-,"Bliss Family Care Limited","The Lodge Residential Home","Grange Lane","LE7 9PH",2017-11-08,Overall,Well-led,Inadequate
-,"Bliss Support Ltd","Bliss Support","Penmore House","S41 0SJ",2017-05-03,Overall,Overall,Inadequate
-,"Bliss Support Ltd","Bliss Support","Penmore House","S41 0SJ",2017-05-03,Overall,Safe,Inadequate
-,"Bliss Support Ltd","Bliss Support","Penmore House","S41 0SJ",2017-05-03,Overall,Well-led,Inadequate
-,"Bloomsbury Home Care Limited","Bloomsbury Home Care - The Butterfield Centre","2 North Road","PE10 9AP",2016-08-23,Overall,Safe,Inadequate
-,"Blossom Care Home Limited","Blossom Care Home","10 Church Street","WF13 3LA",2017-05-23,Overall,Effective,Inadequate
-,"Blossom Care Home Limited","Blossom Care Home","10 Church Street","WF13 3LA",2017-05-23,Overall,Overall,Inadequate
-,"Blossom Care Home Limited","Blossom Care Home","10 Church Street","WF13 3LA",2017-05-23,Overall,Safe,Inadequate
-,"Blossom Care Home Limited","Blossom Care Home","10 Church Street","WF13 3LA",2017-05-23,Overall,Well-led,Inadequate
-,"Blue Lantern Care Agency Limited","Blue Lantern Care Agency Ltd","Imperial Court","M5 3EB",2018-01-12,Overall,Overall,Inadequate
-,"Blue Lantern Care Agency Limited","Blue Lantern Care Agency Ltd","Imperial Court","M5 3EB",2018-01-12,Overall,Safe,Inadequate
-,"Blue Lantern Care Agency Limited","Blue Lantern Care Agency Ltd","Imperial Court","M5 3EB",2018-01-12,Overall,Well-led,Inadequate
-,"Blue Mar Limited","Colebrook Manor","Boringdon Road","PL7 4DZ",2018-01-24,Overall,Well-led,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"Families, children and young people",Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"Older people",Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,Overall,Effective,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,Overall,Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,Overall,Well-led,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"People with long term conditions",Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Brighton and Sussex University Hospitals NHS Trust","Royal Sussex County Hospital","Royal Sussex County Hospital","BN2 5BE",2017-08-10,"Intensive/critical care",Overall,Inadequate
-,"Brighton and Sussex University Hospitals NHS Trust","Royal Sussex County Hospital","Royal Sussex County Hospital","BN2 5BE",2017-08-10,"Intensive/critical care",Safe,Inadequate
-,"Brighton and Sussex University Hospitals NHS Trust","Royal Sussex County Hospital","Royal Sussex County Hospital","BN2 5BE",2017-08-10,"Intensive/critical care",Well-led,Inadequate
-,"Brighton and Sussex University Hospitals NHS Trust","Royal Sussex County Hospital","Royal Sussex County Hospital","BN2 5BE",2017-08-10,"Medical care (Including older people's care)",Safe,Inadequate
-,"Brighton and Sussex University Hospitals NHS Trust","Royal Sussex County Hospital","Royal Sussex County Hospital","BN2 5BE",2017-08-10,Overall,Safe,Inadequate
-,"Brighton and Sussex University Hospitals NHS Trust","Royal Sussex County Hospital","Royal Sussex County Hospital","BN2 5BE",2017-08-10,"Urgent and emergency services (A&E)",Responsive,Inadequate
-,"Broadoak Group of Care Homes","South Collingham Hall","Newark Road","NG23 7LE",2017-06-30,Overall,Well-led,Inadequate
-,"Brooks Care and Nursing Services Limited","Brooks Care and Nursing Services Ltd","Gallies Yard","SS11 8QG",2017-08-05,Overall,Overall,Inadequate
-,"Brooks Care and Nursing Services Limited","Brooks Care and Nursing Services Ltd","Gallies Yard","SS11 8QG",2017-08-05,Overall,Safe,Inadequate
-,"Brooks Care and Nursing Services Limited","Brooks Care and Nursing Services Ltd","Gallies Yard","SS11 8QG",2017-08-05,Overall,Well-led,Inadequate
-,"Buckinghamshire County Council","Seeleys House Short Breaks Centre","Seeleys House","HP9 1TF",2017-08-22,Overall,Well-led,Inadequate
-,"Button Space Limited","Grimsargh House Care Home","Preston Road","PR2 5JE",2016-12-14,Overall,Effective,Inadequate
-,"Button Space Limited","Grimsargh House Care Home","Preston Road","PR2 5JE",2016-12-14,Overall,Overall,Inadequate
