brandName,providerName,locationName,line1,postCode,"Publication Date",serviceName,"Key Question","Latest Rating"
-,"Avon Lea Weymouth 2015 Limited","Avon Lea Nursing Home","66 Dorchester Road","DT4 7JZ",2017-12-29,Overall,Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"Families, children and young people",Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"Older people",Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,Overall,Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"People with long term conditions",Overall,Inadequate
-,"Barnsley Road Surgery","Barnsley Road Surgery","899 Barnsley Road","S5 0QJ",2016-01-07,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Barts Health NHS Trust","Whipps Cross University Hospital","Whipps Cross Road","E11 1NR",2017-09-12,Surgery,Overall,Inadequate
-,"Bee Friends Limited","Bee Friends","Suite 33, Liberty House, The Enterprise Centre","RG19 6HN",2017-09-16,Overall,Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"Families, children and young people",Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"Older people",Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,Overall,Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"People with long term conditions",Overall,Inadequate
-,"Beehive Surgery","Beehive Surgery","106-108 Crescent Road","BL3 2JR",2017-08-31,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"Families, children and young people",Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"Older people",Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,Overall,Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"People with long term conditions",Overall,Inadequate
-,"Belgrave and White Lane Surgery","The Matthews Practice Belgrave","Matthews Practice Belgrave","S2 4UJ",2017-11-22,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"Families, children and young people",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"Older people",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,Overall,Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"People with long term conditions",Overall,Inadequate
-,"Belmont & Sherburn Medical Group","Bowburn Medical Centre","Bow Street","DH6 5AL",2017-09-14,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Bexhill Care Centre Limited","Bexhill Care Centre Limited","154 Barnhorn Road","TN39 4QL",2017-09-23,Overall,Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"Families, children and young people",Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"Older people",Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,Overall,Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"People with long term conditions",Overall,Inadequate
-,"Bexley Group Practice","Bexley Group Practice","73 Upper Wickham Lane","DA16 3AF",2017-11-23,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Bliss Support Ltd","Bliss Support","Penmore House","S41 0SJ",2017-05-03,Overall,Overall,Inadequate
-,"Blossom Care Home Limited","Blossom Care Home","10 Church Street","WF13 3LA",2017-05-23,Overall,Overall,Inadequate
-,"Blue Lantern Care Agency Limited","Blue Lantern Care Agency Ltd","Imperial Court","M5 3EB",2018-01-12,Overall,Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"Families, children and young people",Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"Older people",Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,Overall,Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"People with long term conditions",Overall,Inadequate
-,"Boundary House Surgery","Boundary House Surgery","Forest Primary Care","N9 7HD",2017-07-20,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Brighton and Sussex University Hospitals NHS Trust","Royal Sussex County Hospital","Royal Sussex County Hospital","BN2 5BE",2017-08-10,"Intensive/critical care",Overall,Inadequate
-,"Brooks Care and Nursing Services Limited","Brooks Care and Nursing Services Ltd","Gallies Yard","SS11 8QG",2017-08-05,Overall,Overall,Inadequate
-,"Button Space Limited","Grimsargh House Care Home","Preston Road","PR2 5JE",2016-12-14,Overall,Overall,Inadequate
-,"C&V Orchard Manor Limited","Orchard Manor Limited","42 Slaney Road","WS3 4BN",2018-01-06,Overall,Overall,Inadequate
-,"C&V Orchard Residential Limited","C & V Orchard Residential Limited","1-2 Station Street","WS10 8BG",2018-01-16,Overall,Overall,Inadequate
-,"C.N.V. Limited","Rosecroft Residential Care Home","66 Plaistow Lane","BR1 3JE",2017-03-16,Overall,Overall,Inadequate
-,"Care & Connect Solutions Ltd","Care & Connect","71 Corporation Street","WA10 1SX",2017-11-15,Overall,Overall,Inadequate
-,"Care Community Limited","King Edwards House","18 King Edwards Avenue","GL1 5DB",2016-08-31,Overall,Overall,Inadequate
-,"Care Homes UK Ltd","Haven Lodge","Wakefield Road","WF6 1BP",2017-09-16,Overall,Overall,Inadequate
-,"Carepath Recruitment Limited","Carepath Recruitment Ltd","27 Church Street","PR1 3BQ",2017-06-30,Overall,Overall,Inadequate
-,"Caring Hands Homecare (Fylde & Wyre) Limited","Caring Hands Homecare (Fylde and Wyre) Limited","3 Riversway Business Village","PR2 2YP",2017-10-14,Overall,Overall,Inadequate
-,"Catherine Bernadette Conchie","Derby House","32 Derbyshire Lane","M32 8BJ",2017-07-12,Overall,Overall,Inadequate
-,"Catherine Bernadette Conchie","Dover House Care Home","30 Derbyshire Lane","M32 8BJ",2018-01-20,Overall,Overall,Inadequate
-,"Cedars Care (Winscombe Hall) Limited","Winscombe Hall","Winscombe Hall Care Centre","BS25 1DH",2017-11-04,Overall,Overall,Inadequate
-,"Central Bedfordshire Council","The Birches Residential Home","44 Hitchen Road","SG17 5JB",2017-08-05,Overall,Overall,Inadequate
-,"Central Healthcare Centre","Central Healthcare Centre","Sussex Road","NR31 6QB",2017-08-10,"Families, children and young people",Overall,Inadequate
-,"Central Healthcare Centre","Central Healthcare Centre","Sussex Road","NR31 6QB",2017-08-10,"Older people",Overall,Inadequate
-,"Central Healthcare Centre","Central Healthcare Centre","Sussex Road","NR31 6QB",2017-08-10,Overall,Overall,Inadequate
-,"Central Healthcare Centre","Central Healthcare Centre","Sussex Road","NR31 6QB",2017-08-10,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Central Healthcare Centre","Central Healthcare Centre","Sussex Road","NR31 6QB",2017-08-10,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Central Healthcare Centre","Central Healthcare Centre","Sussex Road","NR31 6QB",2017-08-10,"People with long term conditions",Overall,Inadequate
-,"Central Healthcare Centre","Central Healthcare Centre","Sussex Road","NR31 6QB",2017-08-10,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Charterhouse Surgery","Charterhouse Surgery","The Charterhouse Surgery","BR6 9JN",2018-01-18,"Families, children and young people",Overall,Inadequate
-,"Charterhouse Surgery","Charterhouse Surgery","The Charterhouse Surgery","BR6 9JN",2018-01-18,"Older people",Overall,Inadequate
-,"Charterhouse Surgery","Charterhouse Surgery","The Charterhouse Surgery","BR6 9JN",2018-01-18,Overall,Overall,Inadequate
-,"Charterhouse Surgery","Charterhouse Surgery","The Charterhouse Surgery","BR6 9JN",2018-01-18,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Charterhouse Surgery","Charterhouse Surgery","The Charterhouse Surgery","BR6 9JN",2018-01-18,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Charterhouse Surgery","Charterhouse Surgery","The Charterhouse Surgery","BR6 9JN",2018-01-18,"People with long term conditions",Overall,Inadequate
-,"Charterhouse Surgery","Charterhouse Surgery","The Charterhouse Surgery","BR6 9JN",2018-01-18,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Chesterfield Royal Hospital NHS Foundation Trust","The Grange Family Health Centre","Stubbing Road","S40 2HP",2017-08-04,"Families, children and young people",Overall,Inadequate
-,"Chesterfield Royal Hospital NHS Foundation Trust","The Grange Family Health Centre","Stubbing Road","S40 2HP",2017-08-04,"Older people",Overall,Inadequate
-,"Chesterfield Royal Hospital NHS Foundation Trust","The Grange Family Health Centre","Stubbing Road","S40 2HP",2017-08-04,Overall,Overall,Inadequate
-,"Chesterfield Royal Hospital NHS Foundation Trust","The Grange Family Health Centre","Stubbing Road","S40 2HP",2017-08-04,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Chesterfield Royal Hospital NHS Foundation Trust","The Grange Family Health Centre","Stubbing Road","S40 2HP",2017-08-04,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Chesterfield Royal Hospital NHS Foundation Trust","The Grange Family Health Centre","Stubbing Road","S40 2HP",2017-08-04,"People with long term conditions",Overall,Inadequate
-,"Chesterfield Royal Hospital NHS Foundation Trust","The Grange Family Health Centre","Stubbing Road","S40 2HP",2017-08-04,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Chestnut Care Limited","Savile House","25 Savile Road","HX1 2BA",2017-11-22,Overall,Overall,Inadequate
-,"Chiltern House Medical Centre","Chiltern House Medical Centre","45-47 Temple End","HP13 5DN",2017-08-03,"Families, children and young people",Overall,Inadequate
-,"Chiltern House Medical Centre","Chiltern House Medical Centre","45-47 Temple End","HP13 5DN",2017-08-03,"Older people",Overall,Inadequate
-,"Chiltern House Medical Centre","Chiltern House Medical Centre","45-47 Temple End","HP13 5DN",2017-08-03,Overall,Overall,Inadequate
-,"Chiltern House Medical Centre","Chiltern House Medical Centre","45-47 Temple End","HP13 5DN",2017-08-03,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Chiltern House Medical Centre","Chiltern House Medical Centre","45-47 Temple End","HP13 5DN",2017-08-03,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Chiltern House Medical Centre","Chiltern House Medical Centre","45-47 Temple End","HP13 5DN",2017-08-03,"People with long term conditions",Overall,Inadequate
-,"Chiltern House Medical Centre","Chiltern House Medical Centre","45-47 Temple End","HP13 5DN",2017-08-03,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Chippenham Limited","Goldenley Care Home","Forest Lane","SN15 3QU",2017-09-19,Overall,Overall,Inadequate
-,"Cleveland Alzheimer's Residential Centre Limited","Allison House","Fudan Way, Teesdale","TS17 6EN",2017-11-09,Overall,Overall,Inadequate
-,"Colin C McCabe","Glenarie Manor","15 Aigburth Drive","L17 4JG",2016-11-10,Overall,Overall,Inadequate
-,"Community Care Support Ltd","Community Care Support","84 Weston Road","ST3 6AL",2018-01-19,Overall,Overall,Inadequate
-,"Compleat Care (UK) Limited","Homecare Helpline","7 Market Place","NG34 0SE",2017-11-29,Overall,Overall,Inadequate
-,"Complete Professional Care Medway Ltd","Hempstead Care and Respite Centre","226 Hempstead Road","ME7 3QG",2017-11-18,Overall,Overall,Inadequate
-,"Contemplation Homes Limited","Northcott House Residential Care and Nursing Home","Bury Hall Lane","PO12 2PP",2017-11-09,Overall,Overall,Inadequate
-,"Core Care Links Limited","Market Hill 8-8 Surgery","The Ironstone Centre","DN15 6HX",2017-09-28,"Families, children and young people",Overall,Inadequate
-,"Core Care Links Limited","Market Hill 8-8 Surgery","The Ironstone Centre","DN15 6HX",2017-09-28,"Older people",Overall,Inadequate
-,"Core Care Links Limited","Market Hill 8-8 Surgery","The Ironstone Centre","DN15 6HX",2017-09-28,Overall,Overall,Inadequate
-,"Core Care Links Limited","Market Hill 8-8 Surgery","The Ironstone Centre","DN15 6HX",2017-09-28,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Core Care Links Limited","Market Hill 8-8 Surgery","The Ironstone Centre","DN15 6HX",2017-09-28,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Core Care Links Limited","Market Hill 8-8 Surgery","The Ironstone Centre","DN15 6HX",2017-09-28,"People with long term conditions",Overall,Inadequate
-,"Core Care Links Limited","Market Hill 8-8 Surgery","The Ironstone Centre","DN15 6HX",2017-09-28,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Country Care Home Limited","Hill House Care Home","Hill House","SN15 5BH",2017-12-16,Overall,Overall,Inadequate
-,"Courage Limited","Courage Limited","Trend House","LU1 1LY",2017-09-27,Overall,Overall,Inadequate
-,"Coverage Care Services Limited","Lightmoor View","Nightingale Walk","TF7 5FN",2017-12-29,Overall,Overall,Inadequate
-,"Creative Care (East Midlands) Limited","Orchard End","88 Welham Road","DN22 6UG",2018-01-17,Overall,Overall,Inadequate
-,"Creative Care (East Midlands) Limited","The Old Vicarage","Bullock Lane","NG16 5NP",2017-10-19,Overall,Overall,Inadequate
-,"Creative Care (East Midlands) Limited","The Old Vicarage","Wellow Road","NG22 9AD",2017-12-05,Overall,Overall,Inadequate
-,"Croft House (Care) Limited","Croft Dene Care Home","Threap Gardens, Off Simonside Avenue","NE28 7HT",2017-12-19,Overall,Overall,Inadequate
-,"Curzon Professional Services Limited","Curzon Park Residential Home","13 Curzon Park South","CH4 8AA",2017-12-05,Overall,Overall,Inadequate
-,"DFA Care Limited","Darenth Grange Residential Home","Darenth Hill","DA2 7QR",2017-09-26,Overall,Overall,Inadequate
-,"Danbury Care","Danbury Care","The Stable, Lodge Fam","CM9 6RL",2018-01-09,Overall,Overall,Inadequate
-,"Deepak Patel","Heaton Grange Residential Home","425A Toller Lane","BD9 5NN",2017-08-16,Overall,Overall,Inadequate
-,"Defiant Enterprises Limited","The Laurels Care Home","The Laurels","NR17 1AA",2018-01-26,Overall,Overall,Inadequate
-,"Denise Quality Care Services Limited","Denise Quality Care Services Limited","Thurrock Centre for Business, Unit 1","RM17 6LY",2017-08-26,Overall,Overall,Inadequate
-,"Dentak Care and Services Limited","The Riverside Nursing Home","The Riverside Nursing Home","OL15 8DA",2017-11-15,Overall,Overall,Inadequate
-,"Dilston Medical Centre","Dilston Medical Centre","23 Dilston Road","NE4 5AB",2017-12-15,"Families, children and young people",Overall,Inadequate
-,"Dilston Medical Centre","Dilston Medical Centre","23 Dilston Road","NE4 5AB",2017-12-15,"Older people",Overall,Inadequate
-,"Dilston Medical Centre","Dilston Medical Centre","23 Dilston Road","NE4 5AB",2017-12-15,Overall,Overall,Inadequate
-,"Dilston Medical Centre","Dilston Medical Centre","23 Dilston Road","NE4 5AB",2017-12-15,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Dilston Medical Centre","Dilston Medical Centre","23 Dilston Road","NE4 5AB",2017-12-15,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Dilston Medical Centre","Dilston Medical Centre","23 Dilston Road","NE4 5AB",2017-12-15,"People with long term conditions",Overall,Inadequate
-,"Dilston Medical Centre","Dilston Medical Centre","23 Dilston Road","NE4 5AB",2017-12-15,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Direct Line Consultancy Services Limited","Direct Line Consultancy Services","158C (Rear office), The Grove,","E15 1NS",2018-01-17,Overall,Overall,Inadequate
-,"Dr Abdul Halem","Old Road West Surgery","30 Old Road West","DA11 0LL",2017-11-09,"Families, children and young people",Overall,Inadequate
-,"Dr Abdul Halem","Old Road West Surgery","30 Old Road West","DA11 0LL",2017-11-09,"Older people",Overall,Inadequate
-,"Dr Abdul Halem","Old Road West Surgery","30 Old Road West","DA11 0LL",2017-11-09,Overall,Overall,Inadequate
-,"Dr Abdul Halem","Old Road West Surgery","30 Old Road West","DA11 0LL",2017-11-09,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Dr Abdul Halem","Old Road West Surgery","30 Old Road West","DA11 0LL",2017-11-09,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Dr Abdul Halem","Old Road West Surgery","30 Old Road West","DA11 0LL",2017-11-09,"People with long term conditions",Overall,Inadequate
-,"Dr Abdul Halem","Old Road West Surgery","30 Old Road West","DA11 0LL",2017-11-09,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Dr Abdul Karim Jawad and Dr Hanan Hussain","Spring Farm Surgery","382 Upminster Road North","RM13 9RZ",2017-08-03,"Families, children and young people",Overall,Inadequate
-,"Dr Abdul Karim Jawad and Dr Hanan Hussain","Spring Farm Surgery","382 Upminster Road North","RM13 9RZ",2017-08-03,"Older people",Overall,Inadequate
-,"Dr Abdul Karim Jawad and Dr Hanan Hussain","Spring Farm Surgery","382 Upminster Road North","RM13 9RZ",2017-08-03,Overall,Overall,Inadequate
-,"Dr Abdul Karim Jawad and Dr Hanan Hussain","Spring Farm Surgery","382 Upminster Road North","RM13 9RZ",2017-08-03,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Dr Abdul Karim Jawad and Dr Hanan Hussain","Spring Farm Surgery","382 Upminster Road North","RM13 9RZ",2017-08-03,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Dr Abdul Karim Jawad and Dr Hanan Hussain","Spring Farm Surgery","382 Upminster Road North","RM13 9RZ",2017-08-03,"People with long term conditions",Overall,Inadequate
-,"Dr Abdul Karim Jawad and Dr Hanan Hussain","Spring Farm Surgery","382 Upminster Road North","RM13 9RZ",2017-08-03,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Dr Abubakr Shaikh","Dr Abubakr Shaikh","3 Peel Precinct","NW6 5RE",2017-04-06,"Families, children and young people",Overall,Inadequate
-,"Dr Abubakr Shaikh","Dr Abubakr Shaikh","3 Peel Precinct","NW6 5RE",2017-04-06,"Older people",Overall,Inadequate
-,"Dr Abubakr Shaikh","Dr Abubakr Shaikh","3 Peel Precinct","NW6 5RE",2017-04-06,Overall,Overall,Inadequate
-,"Dr Abubakr Shaikh","Dr Abubakr Shaikh","3 Peel Precinct","NW6 5RE",2017-04-06,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Dr Abubakr Shaikh","Dr Abubakr Shaikh","3 Peel Precinct","NW6 5RE",2017-04-06,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Dr Abubakr Shaikh","Dr Abubakr Shaikh","3 Peel Precinct","NW6 5RE",2017-04-06,"People with long term conditions",Overall,Inadequate
-,"Dr Abubakr Shaikh","Dr Abubakr Shaikh","3 Peel Precinct","NW6 5RE",2017-04-06,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Dr Alan M Campion","Dr Alan M Campion","New Mill Street Surgery","SE1 2BP",2017-12-28,"Families, children and young people",Overall,Inadequate
-,"Dr Alan M Campion","Dr Alan M Campion","New Mill Street Surgery","SE1 2BP",2017-12-28,"Older people",Overall,Inadequate
-,"Dr Alan M Campion","Dr Alan M Campion","New Mill Street Surgery","SE1 2BP",2017-12-28,Overall,Overall,Inadequate
-,"Dr Alan M Campion","Dr Alan M Campion","New Mill Street Surgery","SE1 2BP",2017-12-28,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Dr Alan M Campion","Dr Alan M Campion","New Mill Street Surgery","SE1 2BP",2017-12-28,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Dr Alan M Campion","Dr Alan M Campion","New Mill Street Surgery","SE1 2BP",2017-12-28,"People with long term conditions",Overall,Inadequate
-,"Dr Alan M Campion","Dr Alan M Campion","New Mill Street Surgery","SE1 2BP",2017-12-28,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Dr Alok Mittal","Dr Alok Mittal","Markyate Road","RM8 2LD",2017-12-07,"Families, children and young people",Overall,Inadequate
-,"Dr Alok Mittal","Dr Alok Mittal","Markyate Road","RM8 2LD",2017-12-07,"Older people",Overall,Inadequate
-,"Dr Alok Mittal","Dr Alok Mittal","Markyate Road","RM8 2LD",2017-12-07,Overall,Overall,Inadequate
-,"Dr Alok Mittal","Dr Alok Mittal","Markyate Road","RM8 2LD",2017-12-07,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Dr Alok Mittal","Dr Alok Mittal","Markyate Road","RM8 2LD",2017-12-07,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Dr Alok Mittal","Dr Alok Mittal","Markyate Road","RM8 2LD",2017-12-07,"People with long term conditions",Overall,Inadequate
-,"Dr Alok Mittal","Dr Alok Mittal","Markyate Road","RM8 2LD",2017-12-07,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Dr Azmeena Nathu","Dr Azmeena Nathu","Pennygate Health Centre","PE11 1LT",2017-12-28,"Families, children and young people",Overall,Inadequate
-,"Dr Azmeena Nathu","Dr Azmeena Nathu","Pennygate Health Centre","PE11 1LT",2017-12-28,"Older people",Overall,Inadequate
-,"Dr Azmeena Nathu","Dr Azmeena Nathu","Pennygate Health Centre","PE11 1LT",2017-12-28,Overall,Overall,Inadequate
-,"Dr Azmeena Nathu","Dr Azmeena Nathu","Pennygate Health Centre","PE11 1LT",2017-12-28,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
-,"Dr Azmeena Nathu","Dr Azmeena Nathu","Pennygate Health Centre","PE11 1LT",2017-12-28,"People whose circumstances may make them vulnerable",Overall,Inadequate
-,"Dr Azmeena Nathu","Dr Azmeena Nathu","Pennygate Health Centre","PE11 1LT",2017-12-28,"People with long term conditions",Overall,Inadequate
-,"Dr Azmeena Nathu","Dr Azmeena Nathu","Pennygate Health Centre","PE11 1LT",2017-12-28,"Working age people (including those recently retired and students)",Overall,Inadequate
-,"Dr Bajen and Dr Blasco","Dr Bajen and Dr Blasco","Rochford Medical Practice","SS4 1AY",2017-09-06,"Families, children and young people",Overall,Inadequate
-,"Dr Bajen and Dr Blasco","Dr Bajen and Dr Blasco","Rochford Medical Practice","SS4 1AY",2017-09-06,"Older people",Overall,Inadequate
-,"Dr Bajen and Dr Blasco","Dr Bajen and Dr Blasco","Rochford Medical Practice","SS4 1AY",2017-09-06,Overall,Overall,Inadequate
-,"Dr Bajen and Dr Blasco","Dr Bajen and Dr Blasco","Rochford Medical Practice","SS4 1AY",2017-09-06,"People experiencing poor mental health (including people with dementia)",Overall,Inadequate
